Date;Distributeur;CB;Total HT (5.5%);Total TVA (5.5%);Total HT (6%);Total TVA (6%);Total HT (10%);Total TVA (10%);Total HT;Total TTC
18/06/2021;We Love Pizza 2 - Haine Saint Paul;240.90;0.00;0.00;227.28;13.62;0.00;0.00;227.28;240.90
18/06/2021;We Love Pizza Gembloux;131.20;0.00;0.00;123.76;7.44;0.00;0.00;123.76;131.20
18/06/2021;[Sélection];372.10;0.00;0.00;351.04;21.06;0.00;0.00;351.04;372.10
19/06/2021;We Love Pizza 2 - Haine Saint Paul;390.30;0.00;0.00;368.30;22.00;0.00;0.00;368.30;390.30
19/06/2021;We Love Pizza Gembloux;236.50;0.00;0.00;223.14;13.36;0.00;0.00;223.14;236.50
19/06/2021;[Sélection];626.80;0.00;0.00;591.44;35.36;0.00;0.00;591.44;626.80
20/06/2021;We Love Pizza 2 - Haine Saint Paul;412.10;0.00;0.00;388.85;23.25;0.00;0.00;388.85;412.10
20/06/2021;We Love Pizza Gembloux;388.80;0.00;0.00;366.83;21.97;0.00;0.00;366.83;388.80
20/06/2021;[Sélection];800.90;0.00;0.00;755.68;45.22;0.00;0.00;755.68;800.90
21/06/2021;We Love Pizza 2 - Haine Saint Paul;254.20;0.00;0.00;239.82;14.38;0.00;0.00;239.82;254.20
21/06/2021;We Love Pizza Gembloux;158.10;0.00;0.00;149.16;8.94;0.00;0.00;149.16;158.10
21/06/2021;[Sélection];412.30;0.00;0.00;388.98;23.32;0.00;0.00;388.98;412.30
22/06/2021;We Love Pizza 2 - Haine Saint Paul;268.70;0.00;0.00;253.53;15.17;0.00;0.00;253.53;268.70
22/06/2021;We Love Pizza Gembloux;175.80;0.00;0.00;165.87;9.93;0.00;0.00;165.87;175.80
22/06/2021;[Sélection];444.50;0.00;0.00;419.40;25.10;0.00;0.00;419.40;444.50
23/06/2021;We Love Pizza 2 - Haine Saint Paul;156.30;0.00;0.00;147.49;8.81;0.00;0.00;147.49;156.30
23/06/2021;We Love Pizza Gembloux;103.60;0.00;0.00;97.76;5.84;0.00;0.00;97.76;103.60
23/06/2021;[Sélection];259.90;0.00;0.00;245.25;14.65;0.00;0.00;245.25;259.90
24/06/2021;We Love Pizza 2 - Haine Saint Paul;227.90;0.00;0.00;215.04;12.86;0.00;0.00;215.04;227.90
24/06/2021;We Love Pizza Gembloux;109.10;0.00;0.00;102.97;6.13;0.00;0.00;102.97;109.10
24/06/2021;[Sélection];337.00;0.00;0.00;318.01;18.99;0.00;0.00;318.01;337.00
25/06/2021;We Love Pizza 2 - Haine Saint Paul;287.20;0.00;0.00;270.99;16.21;0.00;0.00;270.99;287.20
25/06/2021;We Love Pizza Gembloux;235.40;0.00;0.00;222.12;13.28;0.00;0.00;222.12;235.40
25/06/2021;[Sélection];522.60;0.00;0.00;493.11;29.49;0.00;0.00;493.11;522.60
26/06/2021;We Love Pizza 2 - Haine Saint Paul;393.20;0.00;0.00;370.99;22.21;0.00;0.00;370.99;393.20
26/06/2021;We Love Pizza Gembloux;160.80;0.00;0.00;151.72;9.08;0.00;0.00;151.72;160.80
26/06/2021;[Sélection];554.00;0.00;0.00;522.71;31.29;0.00;0.00;522.71;554.00
27/06/2021;We Love Pizza 2 - Haine Saint Paul;525.20;0.00;0.00;495.57;29.63;0.00;0.00;495.57;525.20
27/06/2021;We Love Pizza Gembloux;112.10;0.00;0.00;105.77;6.33;0.00;0.00;105.77;112.10
27/06/2021;[Sélection];637.30;0.00;0.00;601.34;35.96;0.00;0.00;601.34;637.30
28/06/2021;We Love Pizza 2 - Haine Saint Paul;249.00;0.00;0.00;234.92;14.08;0.00;0.00;234.92;249.00
28/06/2021;We Love Pizza Gembloux;183.00;0.00;0.00;172.67;10.33;0.00;0.00;172.67;183.00
28/06/2021;[Sélection];432.00;0.00;0.00;407.59;24.41;0.00;0.00;407.59;432.00
29/06/2021;We Love Pizza 2 - Haine Saint Paul;267.90;0.00;0.00;252.78;15.12;0.00;0.00;252.78;267.90
29/06/2021;We Love Pizza Gembloux;55.90;0.00;0.00;52.74;3.16;0.00;0.00;52.74;55.90
29/06/2021;[Sélection];323.80;0.00;0.00;305.52;18.28;0.00;0.00;305.52;323.80
30/06/2021;We Love Pizza 2 - Haine Saint Paul;144.60;0.00;0.00;136.44;8.16;0.00;0.00;136.44;144.60
30/06/2021;We Love Pizza Gembloux;74.40;0.00;0.00;70.20;4.20;0.00;0.00;70.20;74.40
30/06/2021;[Sélection];219.00;0.00;0.00;206.64;12.36;0.00;0.00;206.64;219.00
01/07/2021;We Love Pizza 2 - Haine Saint Paul;229.00;0.00;0.00;216.09;12.91;0.00;0.00;216.09;229.00
01/07/2021;We Love Pizza Gembloux;48.00;0.00;0.00;45.28;2.72;0.00;0.00;45.28;48.00
01/07/2021;[Sélection];277.00;0.00;0.00;261.37;15.63;0.00;0.00;261.37;277.00
02/07/2021;We Love Pizza 2 - Haine Saint Paul;176.00;0.00;0.00;166.07;9.93;0.00;0.00;166.07;176.00
02/07/2021;We Love Pizza Gembloux;30.10;0.00;0.00;28.40;1.70;0.00;0.00;28.40;30.10
02/07/2021;[Sélection];206.10;0.00;0.00;194.47;11.63;0.00;0.00;194.47;206.10
03/07/2021;We Love Pizza 2 - Haine Saint Paul;574.20;0.00;0.00;541.78;32.42;0.00;0.00;541.78;574.20
03/07/2021;We Love Pizza Gembloux;247.10;0.00;0.00;233.12;13.98;0.00;0.00;233.12;247.10
03/07/2021;[Sélection];821.30;0.00;0.00;774.90;46.40;0.00;0.00;774.90;821.30
04/07/2021;We Love Pizza 2 - Haine Saint Paul;375.70;0.00;0.00;354.48;21.22;0.00;0.00;354.48;375.70
04/07/2021;We Love Pizza Gembloux;110.00;0.00;0.00;103.78;6.22;0.00;0.00;103.78;110.00
04/07/2021;[Sélection];485.70;0.00;0.00;458.26;27.44;0.00;0.00;458.26;485.70
05/07/2021;We Love Pizza 2 - Haine Saint Paul;226.80;0.00;0.00;214.00;12.80;0.00;0.00;214.00;226.80
05/07/2021;We Love Pizza Gembloux;81.40;0.00;0.00;76.81;4.59;0.00;0.00;76.81;81.40
05/07/2021;[Sélection];308.20;0.00;0.00;290.81;17.39;0.00;0.00;290.81;308.20
06/07/2021;We Love Pizza 2 - Haine Saint Paul;197.90;0.00;0.00;186.73;11.17;0.00;0.00;186.73;197.90
06/07/2021;We Love Pizza Gembloux;44.10;0.00;0.00;41.61;2.49;0.00;0.00;41.61;44.10
